"","Horizon","Estimate","Standard_Error"
"estimate",12,-0.0763089758894388,0.181239188006291
"estimate1",24,-0.204172630739205,0.5893582299302
"estimate2",36,-0.327338942151498,1.04308015657064
"estimate3",48,-0.384033064833895,1.54047139358381
"estimate4",60,-0.553365424724378,2.04790774208787
"estimate5",72,-0.741441800657971,2.58198510160631
"estimate6",84,-0.816627297241311,3.0497119618738
"estimate7",96,-0.981803546133881,3.59348432781309
"estimate8",108,-1.20296125621356,4.09684742666554
"estimate9",120,-1.5359696935804,4.58834569511497
