"","medians","abs_medians"
"Sex_SHAP",-0.000961476274996936,0.00130285719881937
"Smoking_PY_SHAP",-0.00021515337930491,0.037560390667329
"Stage_numeric_SHAP",5.60878084485278e-05,6.58439457995096e-05
"HPV_Positive_SHAP",-0.00192203875636286,0.00363066070871752
"HPV_Unknown_SHAP",0.000498168118918436,0.000555221208201291
"RT_year_SHAP",0.0044148360517442,0.0177845966594809
"Age_SHAP",-0.0113436946313171,0.034244434660621
"BED_DI_SHAP",-2.80703241751999e-06,3.14076010685914e-06
"BED_DD_SHAP",-6.50898302554519e-06,7.40969601822057e-06
